2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
COMPACT CARS,VOLVO,S40 FWD,5,24.799,39.1979,29.7102
COMPACT CARS,VOLVO,S40 FWD,5,24.4014,39.3024,29.4209
COMPACT CARS,VOLVO,S60 AWD,5,21.8994,36.5421,26.717
COMPACT CARS,VOLVO,S60 AWD,5,22.1514,36.4702,26.9049
COMPACT CARS,VOLVO,S60 FWD,5,22.1843,36.4603,26.9291
COMPACT CARS,VOLVO,S60 FWD,5,23.4,37.6,28.191
COMPACT CARS,VOLVO,S60 FWD,5,24.4014,39.3024,29.4209
MIDSIZE CARS,ACURA,RL,6,20,30.9,23.7738
MIDSIZE CARS,ACURA,TL 2WD,6,22.6,36.8,27.3489
MIDSIZE CARS,ACURA,TL 4WD,6,21.2,34.3,25.5997
MIDSIZE CARS,AUDI,A6 QUATTRO,8,19.8642,31.4114,23.8016
MIDSIZE CARS,AUDI,A8,8,19.8642,31.4114,23.8016
MIDSIZE CARS,AUDI,S6,10,17.2,26.7,20.4789
MIDSIZE CARS,AUDI,S8,10,15.7,25.7,19.0325
MIDSIZE CARS,BENTLEY,ARNAGE,8,11.7,19.9,14.3634
MIDSIZE CARS,BENTLEY,CONTINENTAL FLYING SPUR,12,12.5188,23.259,15.8025
MIDSIZE CARS,BMW,528I,6,22.5809,38.0812,27.6444
MIDSIZE CARS,BMW,528I XDRIVE,6,21.7665,35.2524,26.2928
MIDSIZE CARS,BMW,535I,6,21.7374,36.3061,26.5275
MIDSIZE CARS,BMW,535I XDRIVE,6,21.0675,34.6141,25.5708
MIDSIZE CARS,BMW,550I,8,19.0748,31.474,23.185
MIDSIZE CARS,BMW,M5,10,13.1051,23.7127,16.4081
MIDSIZE CARS,BUICK,LACROSSE/ALLURE,6,21.8,38.6,27.1095
